microRNA,R_squared
hsa-miR-101-5p,0.722143022717217
hsa-miR-7706,0.721928770473074
hsa-miR-452-5p,0.721780094923644
hsa-miR-517c-3p,0.72132477346936
hsa-miR-409-3p,0.721092667766983
hsa-miR-1292-5p,0.720889620084854
hsa-miR-485-3p,0.720247610891163
hsa-miR-23a-5p,0.720237894332342
hsa-miR-210-5p,0.719945699212784
hsa-miR-127-3p,0.719300619738863
hsa-miR-202-5p,0.719026130091662
hsa-miR-758-3p,0.718768548713893
hsa-miR-370-3p,0.717835492506594
hsa-miR-20b-5p,0.717409883878254
hsa-miR-224-5p,0.717251498486772
hsa-miR-519e-3p,0.717036963593498
hsa-miR-202-3p,0.716802455278303
hsa-miR-520a-5p,0.715082630161427
hsa-miR-301a-5p,0.714995711441487
hsa-miR-130a-3p,0.714711944949102
hsa-miR-518f-5p,0.714552970522724
hsa-miR-485-5p,0.71454624400869
hsa-miR-3074-5p,0.714473508952247
hsa-miR-107,0.71423448450411
hsa-miR-500a-3p,0.713995573630321
hsa-miR-424-5p,0.713908538127708
hsa-let-7i-3p,0.713807801086058
hsa-miR-136-5p,0.713767125162271
hsa-miR-181c-3p,0.713257206036143
hsa-miR-508-3p,0.71314140388063
hsa-miR-3124-5p,0.712781391069423
hsa-miR-340-3p,0.712659699337584
hsa-miR-411-5p,0.712262226102511
hsa-miR-1295b-5p,0.711917614493953
hsa-miR-223-5p,0.711829629887929
hsa-miR-431-3p,0.711785996977602
hsa-miR-410-3p,0.710978210579472
hsa-miR-7702,0.709696891048578
hsa-miR-346,0.709127451724854
hsa-miR-137-3p,0.70884637651849
hsa-miR-1179,0.707921873948463
hsa-miR-2110,0.707746038825297
hsa-miR-145-5p,0.707549321166715
hsa-miR-432-5p,0.707541015660091
hsa-miR-369-3p,0.70745501606636
hsa-miR-532-5p,0.707387582827101
hsa-miR-543,0.707374406961718
hsa-miR-505-3p,0.707177786939034
hsa-miR-100-5p,0.706943249062126
hsa-miR-181d-3p,0.70647593016805
hsa-miR-576-5p,0.706081749517594
hsa-miR-4728-3p,0.705858221250596
hsa-miR-664a-5p,0.705711909401003
hsa-miR-498-5p,0.705440737314569
hsa-miR-193a-3p,0.705404124257331
hsa-let-7d-5p,0.705235464120412
hsa-miR-454-3p,0.705043029611057
hsa-miR-502-3p,0.704598989897105
hsa-miR-363-3p,0.704397515296213
hsa-miR-574-3p,0.704257199325134
hsa-miR-382-5p,0.703921628450573
hsa-miR-26b-5p,0.703773951970216
hsa-miR-506-3p,0.703611178543336
hsa-miR-133a-3p,0.702701668573629
hsa-miR-1296-5p,0.702200574849655
hsa-miR-655-3p,0.701604819159271
hsa-miR-187-3p,0.701048023634526
hsa-miR-510-3p,0.701031408922925
hsa-miR-34a-5p,0.700910239632925
hsa-miR-550a-3p,0.699180107132913
hsa-miR-1323,0.698854574260947
hsa-miR-374b-5p,0.698707572332141
hsa-miR-518a-3p,0.698261952747252
hsa-miR-377-5p,0.697306733017956
hsa-miR-6842-3p,0.697154338012089
hsa-miR-23b-3p,0.696678116214351
hsa-miR-888-5p,0.69629698610633
hsa-miR-592,0.696224130117007
hsa-miR-450b-5p,0.696132400287013
hsa-miR-155-3p,0.695482817255323
hsa-miR-4652-5p,0.695392765587628
hsa-miR-1468-5p,0.695349062704844
hsa-miR-452-3p,0.695255455774706
hsa-miR-539-3p,0.694630052623143
hsa-miR-134-5p,0.694505159226566
hsa-miR-338-3p,0.694377759298212
hsa-miR-487b-3p,0.694243858711237
hsa-miR-515-3p,0.694126332966551
hsa-miR-891b,0.694042989574923
hsa-miR-508-5p,0.693723388694082
hsa-miR-524-5p,0.693515673791157
hsa-miR-520d-3p,0.693468502524216
hsa-miR-487a-5p,0.693439449921125
hsa-miR-26a-5p,0.693279499829966
hsa-miR-98-5p,0.69299904795613
hsa-miR-376c-3p,0.692093126784133
hsa-miR-9-5p,0.690046905889209
hsa-miR-221-5p,0.688517768572592
hsa-miR-3922-3p,0.687178143188536
hsa-miR-329-3p,0.68701089444424
hsa-miR-625-5p,0.686939356563042
hsa-miR-337-3p,0.686715599649383
hsa-miR-370-5p,0.686279202317148
hsa-miR-518c-5p,0.686000288053656
hsa-miR-500b-3p,0.68560606858279
hsa-miR-891a-5p,0.685443939379953
hsa-miR-513b-5p,0.685313763442612
hsa-miR-509-5p,0.68489128615867
hsa-miR-5589-3p,0.684506762255521
hsa-miR-1306-3p,0.684310618985035
hsa-miR-6715a-3p,0.683764464921025
hsa-miR-518e-3p,0.683517448481282
hsa-miR-641,0.683430546141179
hsa-miR-339-3p,0.683115416037151
hsa-miR-524-3p,0.68296564628407
hsa-miR-144-5p,0.682329057574443
hsa-miR-513a-5p,0.682259757897272
hsa-miR-483-3p,0.681918630352561
hsa-miR-323b-3p,0.681286234699711
hsa-miR-758-5p,0.680962129617243
hsa-miR-616-5p,0.679998433428097
hsa-miR-3677-3p,0.679986316216708
hsa-miR-6810-3p,0.679800960362841
hsa-miR-3622a-5p,0.679765815171553
hsa-miR-519d-3p,0.679494976314347
hsa-miR-335-3p,0.679483172832062
hsa-miR-296-5p,0.67919876158733
hsa-miR-519c-3p,0.678767780753189
hsa-miR-299-5p,0.678624379674821
hsa-miR-483-5p,0.678236632976873
hsa-miR-935,0.677632857559544
hsa-miR-330-3p,0.676940501318307
hsa-miR-340-5p,0.676516842425106
hsa-miR-514a-3p,0.676455946953509
hsa-miR-95-3p,0.676433846212398
hsa-miR-339-5p,0.676097101420327
hsa-miR-3940-3p,0.675202031348606
hsa-miR-1247-3p,0.675087902217024
hsa-miR-497-5p,0.674644275060117
hsa-miR-1343-3p,0.674088556843981
hsa-miR-744-3p,0.673677051821511
hsa-miR-105-5p,0.673655191201677
hsa-miR-154-3p,0.673169928013829
hsa-miR-500a-5p,0.67312927032528
hsa-miR-654-5p,0.67289323203278
hsa-miR-133b,0.672735353696702
hsa-miR-3622b-3p,0.672174980050849
hsa-miR-520f-5p,0.671615474352417
hsa-miR-520a-3p,0.671539962616353
hsa-miR-28-5p,0.671385261465182
hsa-miR-29b-1-5p,0.671384840445835
hsa-miR-514a-5p,0.67097117046321
hsa-let-7g-5p,0.670770377005076
hsa-miR-335-5p,0.670747316098842
hsa-miR-518c-3p,0.670101686454911
hsa-miR-30c-1-3p,0.669958826058483
hsa-miR-135a-5p,0.6694563780162
hsa-miR-299-3p,0.669453848543048
hsa-miR-1271-5p,0.669419818155369
hsa-miR-369-5p,0.669405096223507
hsa-miR-598-3p,0.668824916219051
hsa-miR-323a-3p,0.667995865855126
hsa-miR-520h,0.667500682663293
hsa-miR-421,0.667478484398383
hsa-miR-4640-3p,0.667342268130419
hsa-miR-656-3p,0.66695821557604
hsa-miR-539-5p,0.666833737462837
hsa-miR-4662a-5p,0.666789611772351
hsa-miR-326,0.666731689937349
hsa-miR-365a-5p,0.666389737556722
hsa-miR-320b,0.665652600347143
hsa-miR-28-3p,0.665607087735529
hsa-miR-767-5p,0.665461198794381
hsa-miR-509-3-5p,0.665326377081828
hsa-miR-584-3p,0.665290791486314
hsa-miR-544a,0.665248564146885
hsa-miR-296-3p,0.665052964592562
hsa-miR-493-5p,0.664690168558774
hsa-miR-1270,0.664248432406383
hsa-miR-5010-3p,0.664153606132052
hsa-miR-424-3p,0.663780487875387
hsa-miR-4758-3p,0.662893812111038
hsa-miR-6499-3p,0.662430343759428
hsa-miR-4787-3p,0.662227711423007
hsa-miR-34c-3p,0.66193909474282
hsa-miR-181d-5p,0.661483249540768
hsa-let-7c-3p,0.661035298593437
hsa-miR-1287-5p,0.660639459275647
